origin,destination,country,region,ai_current_rate_usd_feu,ai_forecast_rate_usd_feu_3mo,ai_pct_change,ai_note,ai_provider,ai_model,ai_confidence,fetched_at
Nhava Sheva (JNPT),Ho Chi Minh City (Cat Lai),Vietnam,Intra-Asia,662.0,636.0,-3.9,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Shanghai,China,Intra-Asia,795.0,763.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Ningbo,China,Intra-Asia,893.0,857.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Yantian (Shenzhen),China,Intra-Asia,811.0,779.0,-3.9,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Busan,South Korea,Intra-Asia,1031.0,990.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
Nhava Sheva (JNPT),Yokohama,Japan,Intra-Asia,1045.0,1003.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Jebel Ali,UAE,Middle East,1158.0,1100.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Dammam,Saudi Arabia,Middle East,1244.0,1182.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Bandar Abbas,Iran,Middle East,1266.0,1203.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Kuwait City,Kuwait,Middle East,1152.0,1094.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Hamad Port (Doha),Qatar,Middle East,1130.0,1074.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Sohar,Oman,Middle East,1176.0,1117.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Jeddah,Saudi Arabia,Red Sea / East Africa,1545.0,1452.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Port Sudan,Sudan,Red Sea / East Africa,2112.0,1985.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Djibouti,Djibouti,Red Sea / East Africa,1918.0,1803.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Aqaba,Jordan,Red Sea / East Africa,1878.0,1765.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Suez,Egypt,Red Sea / East Africa,2095.0,1969.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Piraeus,Greece,Europe (Mediterranean),3869.0,3559.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Genoa,Italy,Europe (Mediterranean),4087.0,3760.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Barcelona,Spain,Europe (Mediterranean),4128.0,3798.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Marseille,France,Europe (Mediterranean),4320.0,3974.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Valencia,Spain,Europe (Mediterranean),4163.0,3830.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Gioia Tauro,Italy,Europe (Mediterranean),4391.0,4040.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Ambarli (Istanbul),Turkey,Europe (Mediterranean),4111.0,3782.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Rotterdam,Netherlands,Europe (North),5123.0,4713.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Hamburg,Germany,Europe (North),5549.0,5105.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Antwerp,Belgium,Europe (North),4898.0,4506.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Felixstowe,United Kingdom,Europe (North),5048.0,4644.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Le Havre,France,Europe (North),5241.0,4822.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,New York/New Jersey,USA,US East Coast,7441.0,6697.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Savannah,USA,US East Coast,7319.0,6587.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Norfolk,USA,US East Coast,7767.0,6990.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Charleston,USA,US East Coast,7670.0,6903.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Baltimore,USA,US East Coast,8336.0,7502.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Houston,USA,US Gulf / Caribbean / Latin America,8325.0,7492.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,New Orleans,USA,US Gulf / Caribbean / Latin America,8082.0,7274.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Cartagena,Colombia,US Gulf / Caribbean / Latin America,4028.0,3786.0,-6.0,Panama transit constraints add modest premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Balboa,Panama,US Gulf / Caribbean / Latin America,3758.0,3533.0,-6.0,Panama transit constraints add modest premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Kingston,Jamaica,US Gulf / Caribbean / Latin America,3699.0,3477.0,-6.0,Panama transit constraints add modest premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Lagos,Nigeria,Africa / South America (Cape),4019.0,3738.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Tema,Ghana,Africa / South America (Cape),4272.0,3973.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Durban,South Africa,Africa / South America (Cape),3429.0,3189.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Cape Town,South Africa,Africa / South America (Cape),3455.0,3213.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Santos,Brazil,Africa / South America (Cape),4186.0,3893.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Buenos Aires,Argentina,Africa / South America (Cape),4871.0,4530.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Mombasa,Kenya,Indian Ocean Rim,1035.0,994.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Dar es Salaam,Tanzania,Indian Ocean Rim,1085.0,1042.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Colombo,Sri Lanka,Indian Ocean Rim,800.0,768.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Port Louis,Mauritius,Indian Ocean Rim,1271.0,1220.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Karachi,Pakistan,Indian Ocean Rim,859.0,825.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Los Angeles/Long Beach,USA,Pacific (US West / Oceania),6696.0,6093.0,-9.0,Trans-shipment capacity crunch keeping US West Coast elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Oakland,USA,Pacific (US West / Oceania),6946.0,6321.0,-9.0,Trans-shipment capacity crunch keeping US West Coast elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Seattle/Tacoma,USA,Pacific (US West / Oceania),6429.0,5850.0,-9.0,Trans-shipment capacity crunch keeping US West Coast elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Vancouver,Canada,Pacific (US West / Oceania),2909.0,2764.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Melbourne,Australia,Pacific (US West / Oceania),2536.0,2409.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Sydney,Australia,Pacific (US West / Oceania),2748.0,2611.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Auckland,New Zealand,Pacific (US West / Oceania),2653.0,2520.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Singapore,Singapore,Intra-Asia,732.0,703.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Port Klang,Malaysia,Intra-Asia,695.0,667.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Laem Chabang,Thailand,Intra-Asia,831.0,798.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Ho Chi Minh City (Cat Lai),Vietnam,Intra-Asia,866.0,831.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Shanghai,China,Intra-Asia,999.0,959.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Ningbo,China,Intra-Asia,1097.0,1053.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Yantian (Shenzhen),China,Intra-Asia,1014.0,973.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Busan,South Korea,Intra-Asia,1234.0,1185.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Tihi,Yokohama,Japan,Intra-Asia,1248.0,1198.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Jebel Ali,UAE,Middle East,1323.0,1257.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
